date,gross_return,strategy_return,turnover,trading_cost,equity_exposure,cash_weight,benchmark_return,classic_momentum_return,classic_equity_exposure,equal_weight_return,strategy_nav,classic_momentum_nav,benchmark_nav,equal_weight_nav,strategy_value,classic_momentum_value,benchmark_value,equal_weight_value
2019-11-27,-0.004906641150108231,-0.004906641150108193,0.0,0.0,0.9999999999999998,2.220446049250313e-16,-0.00411907545642598,0.0030139905438462122,1.0,-0.004538539817638965,1.0574214098968264,1.1366793999409832,1.0189695199383726,1.0877296432574641,105742.14098968264,113667.93999409833,101896.95199383725,108772.96432574642
2019-11-28,-0.004215692224387814,-0.004215692224387779,0.0,0.0,0.9999999999999998,2.220446049250313e-16,-0.003436869455725744,-0.003319868489862765,1.0,-0.002068482215197176,1.052963646681223,1.132905773818043,1.0154674547189808,1.0854796938354434,105296.36466812232,113290.57738180431,101546.74547189809,108547.96938354435
2019-11-29,-0.020487471940599678,-0.020487471940599633,0.0,0.0,0.9999999999999998,2.220446049250313e-16,-0.008707246977189831,-0.015958014066684623,1.0,-0.01678158656992934,1.0313910835153701,1.1148268475432264,1.0066255287934442,1.0672636223834435,103139.10835153701,111482.68475432263,100662.55287934442,106726.36223834436
2019-12-02,0.0071026505217622335,0.0069499726805712925,0.15160107175943013,0.00015160107175943015,0.9955228870733943,0.004477112926605686,0.00193017418581376,-0.0010548365950799887,1.0,0.0041932198694314415,1.0385592233687868,1.1136508873872601,1.0085684914039024,1.0717388934107432,103855.92233687868,111365.08873872602,100856.84914039023,107173.88934107432
2019-12-03,0.0032314293572190014,0.0032314293572190955,0.0,0.0,0.9955373079475047,0.004462692052495276,0.003918082616017449,0.0010658545869812741,1.0,0.006387260904945791,1.0419152541323913,1.1148378772938776,1.012520146077135,1.0785843693449355,104191.52541323913,111483.78772938777,101252.01460771349,107858.43693449355
2019-12-04,0.007254375795044124,0.007254375795044066,0.0,0.0,0.9955694488306662,0.004430551169333774,-0.00032977676450041127,0.013685353863314154,1.0,0.0069514576101881165,1.0494736989324565,1.1300948281448704,1.0121862404593702,1.0860821028674483,104947.36989324565,113009.48281448704,101218.62404593702,108608.21028674483
2019-12-05,0.017616516471454503,0.01761651647145457,0.0,0.0,0.9956461485268571,0.004353851473142933,0.007673086014410968,0.033849592846878496,1.0,0.014671764344844851,1.0679617696360584,1.1683480779559374,1.0199528325450182,1.1020168435398732,106796.17696360583,116834.80779559375,101995.28325450182,110201.68435398732
2019-12-06,0.015313790051992206,0.015313790051992182,0.0,0.0,0.9957118168631197,0.004288183136880286,0.0059365462344302955,0.00431409033818686,0.9999999999999999,0.012202978057628933,1.084316311959819,1.1733884371106864,1.0260078296923598,1.1154647309007277,108431.6311959819,117338.84371106864,102600.78296923598,111546.47309007277
2019-12-09,-0.00719617103924226,-0.007196171039242305,0.0,0.0,0.9956807346911938,0.004319265308806219,-0.001778397341116622,0.04257855814845368,1.0,-0.003820576424394262,1.0765133863183156,1.223349624910927,1.0241831800960701,1.1112030126476051,107651.33863183156,122334.96249109271,102418.31800960701,111120.3012647605
2019-12-10,0.006704797889427735,0.006704797889427683,0.0,0.0,0.9957095016157055,0.004290498384294517,0.0012655790730211613,0.03133768714736318,1.0000000000000002,0.007506833591816253,1.0837311909988434,1.2616865727282298,1.0254793648957399,1.1195446287502755,108373.11909988434,126168.65727282298,102547.93648957399,111954.46287502754
